,algorithm_of_vehicle_classification,algorithm_of_vehicle_classification_name,calibration_of_weighing_system,calibration_of_weighing_system_name,classification_system_for_vehicle_classification,concurrent_route_signing,concurrent_signed_route_number,direction_of_travel,direction_of_travel_name,fips_county_code,fips_state_code,functional_classification,functional_classification_name,hpms_sample_identifier,hpms_sample_type,lane_of_travel,lane_of_travel_name,latitude,longitude,lrs_identification,lrs_location_point,method_of_data_retrieval,method_of_data_retrieval_name,method_of_traffic_volume_counting,method_of_traffic_volume_counting_name,method_of_truck_weighing,method_of_truck_weighing_name,method_of_vehicle_classification,method_of_vehicle_classification_name,national_highway_system,number_of_lanes_in_direction_indicated,number_of_lanes_monitored_for_traffic_volume,number_of_lanes_monitored_for_truck_weight,number_of_lanes_monitored_for_vehicle_class,posted_route_signing,posted_signed_route_number,previous_station_id,primary_purpose,primary_purpose_name,record_type,sample_type_for_traffic_volume,sample_type_for_traffic_volume_name,sample_type_for_truck_weight,sample_type_for_truck_weight_name,sample_type_for_vehicle_classification,sample_type_for_vehicle_classification_name,second_type_of_sensor,shrp_site_identification,station_id,station_location,type_of_sensor,type_of_sensor_name,year_of_data,year_station_discontinued,year_station_established
38,,,,,1,0,00000000,3,East,119,37,5U,Urban: Collector,,N,0,Data with lanes combined,35.3117,80.8283,005000094459,631.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5906,0.40 MILES SOUTH OF NC 115,L,Inductance loop,15,11,93
61,,,,,15,0,00000000,1,North,155,37,1R,Rural: Principal Arterial - Interstate,000000100173,Y,3,Other lanes,34.5082,79.2992,001000009577,1089.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,7701,377701,1.70 MILES SOUTH OF NC 130,P,Piezoelectric,15,3,0
147,,,,,1,2,00000220,7,West,81,37,1U,Urban: Principal Arterial - Interstate,000000100063,Y,0,Data with lanes combined,36.0316,79.8101,001000004040,22532.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4007,0.70 MILES EAST OF US 220 (FRE,L,Inductance loop,15,8,93
157,,,,,15,0,00000000,5,South,171,37,1R,Rural: Principal Arterial - Interstate,,N,2,Other lanes,36.4573,80.769,001000007785,24199.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,8502,378502,2.20 MILES SOUTH OF NC 89 (WES,P,Piezoelectric,15,0,97
187,,,,,15,2,00000311,5,South,67,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100630,Y,2,Other lanes,36.0552,80.1484,001000007433,10615.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000074,,P,Planning or traffic statistics purposes,S,,,,,,,L,1817,371817,0.90 MILES SOUTH OF SR 2698 (R,P,Piezoelectric,15,13,4
207,,,,,1,0,00000000,7,West,129,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,34.2747,77.8684,008000503664,331.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6407,0.10 MILES WEST OF NC132 (COLL,L,Inductance loop,15,7,93
311,,,,,15,0,00000000,1,North,37,37,3R,Rural: Principal Arterial - Other,000000102840,Y,4,Other lanes,35.7543,79.4565,002000042118,31572.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,1992,371992,1.20  MILES SOUTH OF SR 1362 (,P,Piezoelectric,15,8,3
327,,,,,1,0,00000000,1,North,51,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000102413,Y,0,Data with lanes combined,35.0537,78.9476,004000100725,10400.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,3,00001007,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2501,0.82 MILES NORTH OF US 401 BUS,L,Inductance loop,15,0,93
753,,,,,1,2,00000029,1,North,81,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,0,Data with lanes combined,36.0263,79.8112,001900008540,22606.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4003,0.40 MILES SOUTH OF I-40,L,Inductance loop,15,11,93
770,,,,,1,0,00000000,5,South,27,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.1173,81.6571,002000032113,52046.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,1,1,0,0,2,00000321,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A1302,0.30 MILES SOUTH OF SR 1536 (G,L,Inductance loop,15,14,98
